ratinguser,resort_type,apart_type,ghouse_type,hotels_type,capsule_type,homest_type,camp_type,villas_type,ratingprop,good_label,conve_label,impre_label,superb_label,reviewamount,randomrate,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,cleanaccom,landmarknear,,,
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sate Building,,,  0.3  1          0.6               0.50        50      0.41180983  0.9601752  0.27780557
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,-1,1,Sate Building,,,  0.3  1          0.6               0.50       100      0.27512582  0.9818913  0.17716786
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Sate Building,,,  0.3  1          0.6               0.50       150      0.19646964  0.9908820  0.12463579
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Sate Building,,,  0.3  1          0.6               0.75        50      0.32984125  0.9735807  0.21483479
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,3,3,1,Sate Building,,,  0.3  1          0.6               0.75       100      0.21091967  0.9887572  0.13575173
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,Sate Building,,,  0.3  1          0.6               0.75       150      0.15350851  0.9941069  0.09717242
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,3,0,5,5,1,Sate Building,,,  0.3  1          0.6               1.00        50      0.34820143  0.9726672  0.22243142
6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,3,0,5,5,1,Sate Building,,,  0.3  1          0.6               1.00       100      0.23322948  0.9876599  0.14487389
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,1,Sate Building,,,  0.3  1          0.6               1.00       150      0.17439855  0.9931799  0.10916503
8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,3,3,1,Sate Building,,,  0.3  1          0.8               0.50        50      0.22997360  0.9882596  0.14289955
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,4,4,1,Geological Museum,,,  0.3  1          0.8               0.50       100      0.13925363  0.9953559  0.08551254
9.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,  0.3  1          0.8               0.50       150      0.09731314  0.9976998  0.05835217
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Geological Museum,,,  0.3  1          0.8               0.75        50      0.28049075  0.9819745  0.17990909
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,2,1,Geological Museum,,,  0.3  1          0.8               0.75       100      0.15932944  0.9939963  0.10115932
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,Geological Museum,,,  0.3  1          0.8               0.75       150      0.10943508  0.9970871  0.06801672
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,4,0,7,7,1,Geological Museum,,,  0.3  1          0.8               1.00        50      0.28941440  0.9803732  0.18131273
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Geological Museum,,,  0.3  1          0.8               1.00       100      0.17687746  0.9923437  0.10896499
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,3,1,-2,1,Geological Museum,,,  0.3  1          0.8               1.00       150      0.12102837  0.9964458  0.07418645
8,0,0,0,1,0,0,0,0,7.8,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,Kawah Putih,,,  0.3  2          0.6               0.50        50      0.28541838  0.9794732  0.15627143
10,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,0,2,0,4,4,1,Kawah Putih,,,  0.3  2          0.6               0.50       100      0.21599622  0.9876926  0.09556361
8.5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,1,1,1,0,1,1,2,1,1,Kawah Putih,,,  0.3  2          0.6               0.50       150      0.19375147  0.9897027  0.07884934
